disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8
Ringworm (Tinea Corporis),patches on scalp (tinea capitis),itching,red borders of rash,ring-shaped scaly patches,expanding ring over time,circular rash with clear centre,,
Lung Cancer,shortness of breath,bone pain,hoarseness,recurrent pneumonia,fatigue,coughing up blood,,
Glaucoma,halos around lights,tunnel vision (late),often asymptomatic (open-angle),eye pain,,,,
Hepatitis A,pale stools,itching,fatigue,dark urine,vomiting,low-grade fever,,
Glaucoma,halos around lights,headache,tunnel vision (late),often asymptomatic (open-angle),gradual peripheral vision loss,eye pain,,
Fatty Liver Disease (NAFLD),abdominal fullness,right upper abdominal discomfort,enlarged liver,elevated liver enzymes,usually asymptomatic,fatigue,elevated cholesterol,
Plantar Fasciitis,tenderness at heel bone base,pain decreasing after walking but returning after rest,heel pain (especially first steps in morning),pain after prolonged standing,,,,
Athlete's Foot (Tinea Pedis),blisters on foot,itching and burning between toes,discolouration of skin,dry flaky skin on sole,cracking and peeling skin,,,
Osteoporosis,loss of height over time,stooped posture,often asymptomatic until fracture,back pain from fractured vertebra,,,,
Hepatitis B,abdominal pain,fatigue,nausea,fever,right upper quadrant discomfort,jaundice,dark urine,
Hyperlipidaemia,xanthomas (fatty deposits under skin),corneal arcus,chest pain if coronary artery disease develops,xanthelasmas (around eyes),usually asymptomatic,abdominal pain (pancreatitis if very high triglycerides),,
Bipolar Disorder,low mood and hopelessness (depression),impulsive behaviour,episodes of depression,episodes of mania (elevated mood),psychosis (severe mania),,,
Influenza,runny nose,severe headache,sore throat,sneezing,,,,
Coronary Artery Disease,pain radiating to arm/jaw,chest pain (angina),fatigue,chest tightness,dizziness,,,
Food Poisoning,weakness,vomiting,abdominal cramps,blood in stool (severe),muscle aches,,,
Dehydration,dry mouth,dark urine,thirst,confusion (severe),,,,
Polycystic Ovary Syndrome,acne,thinning scalp hair,difficulty getting pregnant,irregular periods,weight gain,,,
Chronic Kidney Disease,shortness of breath,muscle cramps,decreased urine output,itching,nausea,swollen ankles and feet,sleep problems,confusion (late stage)
Parkinson's Disease,depression,shuffling gait,resting tremor,sleep disturbances,bradykinesia (slow movement),speech changes,,
Osteoarthritis,reduced range of motion,fatigue,joint swelling,joint pain worsening with activity,,,,
Cushing Syndrome,thin skin,stretch marks (purple striae),poor wound healing,buffalo hump,,,,
Acute Respiratory Distress Syndrome,confusion,severe breathlessness,low oxygen levels,bilateral lung infiltrates on X-ray,,,,
Kidney Stones,frequent urination,vomiting,pain radiating to groin,burning urination,,,,
Chronic Obstructive Pulmonary Disease,increased mucus production,chest tightness,shortness of breath on exertion,wheezing,cyanosis (late),frequent respiratory infections,fatigue,
Rabies,hydrophobia (fear of water),aerophobia,anxiety,hyperactivity,paralysis,,,
Anaemia (Iron Deficiency),pica (craving non-food items),shortness of breath on exertion,cold hands and feet,restless legs,headache,,,
Systemic Lupus Erythematosus,butterfly rash on face,anaemia,fatigue,chest pain (serositis),,,,
Chickenpox,malaise,fatigue,rash starts on trunk spreads to face and limbs,headache,fever,spots that become blisters then crust,itchy blister rash,loss of appetite
Septic Shock,rapid heart rate,decreased urine output,extremely low blood pressure,extreme fatigue,,,,
Common Cold,sore throat,sneezing,runny nose,headache,nasal congestion,,,
Sciatica,numbness in leg or foot,pain worsening on sitting,tingling in leg,pain from hip to calf or foot,shooting pain from lower back down the leg,pain along sciatic nerve path,,
Polycystic Ovary Syndrome,mood changes,excess body hair (hirsutism),ovarian cysts on ultrasound,acne,darkened skin patches,irregular periods,weight gain,difficulty getting pregnant
Onychomycosis (Nail Fungus),nails separating from nail bed,white spots under nail,distorted nail shape,yellow-brown discolouration,thickened nails,brittle or crumbly nails,foul odour,
Scoliosis,fatigue,difficulty breathing (severe curves),rib prominence on one side,abnormal curvature of spine sideways,back pain,uneven waist,uneven shoulders,
Portal Hypertension,bleeding from varices,ascites (fluid in abdomen),anaemia,dilated abdominal veins,jaundice,oesophageal varices,splenomegaly,
Preeclampsia,headache,nausea,proteinuria,decreased urine output,visual disturbances,hypertension in pregnancy (BP >140/90),upper right abdominal pain,oedema
Influenza,severe headache,fatigue,loss of appetite,sore throat,sneezing,runny nose,,
Oral Candidiasis (Thrush),redness at corners of mouth (angular cheilitis),cotton-like sensation in mouth,white patches in mouth,loss of taste,,,,
Crohn's Disease,mouth sores,perianal fistula,fever,reduced appetite,,,,
Cirrhosis,jaundice,weakness,mental confusion (hepatic encephalopathy),ascites,enlarged spleen,loss of appetite,,
Scabies,pimple-like rash,itching between fingers,sores from scratching,intense itching (worse at night),crust formation (Norwegian scabies),burrow tracks in skin,,
Chickenpox,spots that become blisters then crust,fever,rash starts on trunk spreads to face and limbs,malaise,itchy blister rash,,,
Huntington's Disease,swallowing difficulty,balance difficulty,slurred speech,personality changes,,,,
Syphilis,swollen lymph nodes,muscle aches,fatigue,neurological symptoms (late),rash on palms and soles,headache,sore throat,painless genital sore (chancre)
Deep Vein Thrombosis,swelling of one leg,leg cramps,pain or tenderness in leg,visible surface veins,redness or discolouration,,,
Generalized Anxiety Disorder,excessive worry,fatigue,irritability,"physical symptoms (headache, GI complaints)",restlessness,concentration difficulty,muscle tension,
Cushing Syndrome,stretch marks (purple striae),thin skin,high blood sugar,weight gain (central obesity),weakness,acne,poor wound healing,
Cirrhosis,ascites,oedema in legs,enlarged spleen,mental confusion (hepatic encephalopathy),,,,
Fibromyalgia,cognitive difficulties (fibro fog),anxiety,tender points,sleep disturbance,fatigue,widespread musculoskeletal pain,,
Anorexia Nervosa,hair thinning,bone weakness,cold intolerance,intense fear of weight gain,,,,
Pneumonia,fever,productive cough,chills,fatigue,sweating,,,
Hemochromatosis,hypogonadism,heart problems,liver enlargement,diabetes symptoms,,,,
Polycythemia Vera,redness of face,headache,blurred vision,weight loss,large spleen,sweating,,
Polycystic Kidney Disease,headache,abdominal fullness,urinary tract infections,back or flank pain,high blood pressure,kidney failure (late),kidney stones,blood in urine (haematuria)
Hyperlipidaemia,abdominal pain (pancreatitis if very high triglycerides),chest pain if coronary artery disease develops,xanthelasmas (around eyes),usually asymptomatic,corneal arcus,,,
Osteoarthritis,joint swelling,joint pain worsening with activity,joint stiffness (especially morning),crackling or grating sound,,,,
Cushing Syndrome,high blood sugar,buffalo hump,poor wound healing,thin skin,high blood pressure,weakness,weight gain (central obesity),moon face
Oral Candidiasis (Thrush),soreness inside mouth,redness at corners of mouth (angular cheilitis),cotton-like sensation in mouth,difficulty swallowing,loss of taste,white patches in mouth,,
Haemorrhoids,prolapse of haemorrhoid,swelling around anus,leakage of faeces,itching around anus,bright red blood during bowel movement,pain and discomfort,discomfort sitting,
Anaemia (Iron Deficiency),cold hands and feet,shortness of breath on exertion,brittle nails,fatigue and weakness,headache,fast heartbeat,dizziness,pica (craving non-food items)
Lung Cancer,weight loss,loss of appetite,recurrent pneumonia,fatigue,persistent cough,coughing up blood,,
Heart Failure,swollen ankles and legs,rapid weight gain,fatigue,reduced exercise tolerance,orthopnoea (breathlessness lying flat),,,
Fatty Liver Disease (NAFLD),enlarged liver,right upper abdominal discomfort,fatigue,elevated liver enzymes,elevated cholesterol,usually asymptomatic,abdominal fullness,
Acromegaly,headache,enlarged tongue,vision problems,body odour,excessive sweating,facial feature changes (enlarged jaw/brow),enlarged hands and feet,
Malignant Melanoma,bleeding mole,evolving mole,new pigmented skin lesion,changing mole (ABCDE criteria),asymmetric mole,,,
Chronic Kidney Disease,itching,fatigue,sleep problems,confusion (late stage),swollen ankles and feet,,,
Myocardial Infarction,dizziness,chest pain radiating to left arm,palpitations,shortness of breath,loss of consciousness,,,
Hepatitis A,dark urine,vomiting,pale stools,jaundice,fatigue,loss of appetite,,
Polycystic Kidney Disease,abdominal fullness,kidney failure (late),headache,back or flank pain,,,,
Autism Spectrum Disorder,delayed speech,avoidance of eye contact,difficulty with change in routine,difficulty with social interaction,,,,
Temporomandibular Joint Disorder,headache,difficulty chewing,jaw pain,jaw clicking or popping,,,,
Leukemia (Acute Lymphoblastic),petechiae/bleeding gums,frequent infections,pallor,night sweats,splenomegaly,swollen lymph nodes,bone and joint pain,
Vertigo (Benign Paroxysmal Positional),nausea,brief episodes <1 minute,sudden dizziness triggered by head position change,abnormal eye movements (nystagmus),balance difficulty,vomiting,sensation of spinning,
Hyperthyroidism,weight loss,sweating,fatigue,increased appetite,diarrhoea,,,
Down Syndrome,hearing loss,short stature,low muscle tone (hypotonia),congenital heart defects,characteristic facial features,,,
Anaphylaxis,loss of consciousness,nausea,difficulty breathing,skin rash/hives,vomiting,pale or flushed skin,drop in blood pressure,itching
Influenza,sudden high fever,loss of appetite,sore throat,chills,fatigue,severe headache,congestion,sneezing
Anaemia (Iron Deficiency),shortness of breath on exertion,headache,pica (craving non-food items),pallor,restless legs,fatigue and weakness,,
Hypothermia,slurred speech,rigid muscles,confusion,loss of consciousness (severe),,,,
Insomnia,concentration difficulty,difficulty falling asleep,irritability,difficulty staying asleep,daytime fatigue,,,
Colon Cancer,rectal bleeding,feeling that bowel doesn't empty completely,unexplained weight loss,blood in stool,change in bowel habits,abdominal pain,iron deficiency anaemia,
Measles,widespread skin rash,cough,red eyes,fatigue,high fever,sore throat,Koplik's spots in mouth,sensitivity to light
Sleep Apnea,morning headache,frequent night awakenings,irritability,dry mouth on waking,witnessed apnoea,,,
Osteoarthritis,bony growths at joint,joint swelling,fatigue,joint pain worsening with activity,reduced range of motion,,,
Psoriasis,thick silvery scales on skin,itching,swollen joints (psoriatic arthritis),red patches covered with scales,nail pitting,shedding skin,burning sensation,
Gastritis,loss of appetite,indigestion,belching,burning sensation in stomach,vomiting,dark stools,,
COVID-19,dry cough,diarrhoea,fever,loss of smell,body aches,headache,shortness of breath,chest tightness
Eczema (Atopic Dermatitis),intense itching,red rash,weeping and crusting,sensitive skin,dry skin,thickened skin,sleep disturbance due to itching,rash on inner elbows and knees
Anaemia (Iron Deficiency),shortness of breath on exertion,cold hands and feet,fatigue and weakness,dizziness,,,,
Cholecystitis,jaundice (if bile duct blocked),pain after fatty meal,nausea,pain radiating to right shoulder,chills,Murphy's sign positive,,
Anaemia (Iron Deficiency),fatigue and weakness,restless legs,pica (craving non-food items),cold hands and feet,dizziness,,,
Dengue Haemorrhagic Fever,severe headache,shock (in severe cases),high fever,vomiting,petechiae,rapid fall in platelet count,bleeding gums,abdominal pain
Rabies,paralysis,pain or tingling at bite site,fever,hyperactivity,anxiety,,,
Pancreatitis,fever,vomiting,jaundice (if bile duct affected),severe upper abdominal pain radiating to back,abdominal tenderness,pain worsening after eating,rapid heart rate,
Down Syndrome,hearing loss,low muscle tone (hypotonia),intellectual disability,characteristic facial features,,,,
Muscular Dystrophy (Duchenne),frequent falls,respiratory failure (late),Gowers' sign,learning difficulties,waddling gait,calf pseudohypertrophy,cardiomyopathy,
Eczema (Atopic Dermatitis),rash on inner elbows and knees,red rash,intense itching,dry skin,sensitive skin,thickened skin,weeping and crusting,
Plantar Fasciitis,stiffness in foot,pain after prolonged standing,pain decreasing after walking but returning after rest,heel pain (especially first steps in morning),,,,
Nephrotic Syndrome,fatigue,weight gain from fluid,severe oedema (swelling),low albumin,foamy urine (proteinuria),loss of appetite,,
