disease,medicine,dosage,precautions,severity
Anorexia Nervosa,Nutritional Rehabilitation (NG Feeding),Gradual caloric increase: start 1200–1500 kcal/day; increase 500 kcal every 3–5 days,"Refeeding syndrome risk — monitor phosphate, potassium, magnesium; ECG monitoring; inpatient for BMI <13; multidisciplinary care",Severe
Oral Candidiasis (Thrush),Fluconazole,150 mg single dose or 50 mg once daily for 7–14 days,For moderate-severe or oesophageal candidiasis; many drug interactions; monitor LFTs; adjust dose in renal impairment,Moderate
Hepatitis A,Supportive Care (Rest and Hydration),Adequate fluid intake; rest until clinical improvement,No specific antiviral treatment; avoid alcohol; avoid hepatotoxic drugs; notify contacts for vaccination,Moderate
Cushing Syndrome,Ketoconazole (Cortisol Synthesis Inhibitor),200–400 mg two to three times daily,Hepatotoxic — monitor LFTs; multiple drug interactions; for Cushing's awaiting surgery; specialist endocrinology team only,Severe
Anaemia,Ferrous Sulfate (Iron Supplement),200 mg (65 mg elemental iron) two to three times daily on empty stomach,Take with vitamin C to improve absorption; causes dark stools; avoid with antacids/tea/coffee; constipation is common,Moderate
Osteoporosis,Denosumab (Prolia),60 mg subcutaneous injection every 6 months,Hypocalcaemia risk — ensure adequate calcium/vitamin D; dental work before starting; do not stop abruptly (rebound fracture risk),Moderate
Bipolar Disorder,Lithium Carbonate,400–1200 mg/day in 2–3 divided doses (target level 0.6–1.0 mmol/L),Narrow therapeutic index; regular serum level monitoring; renal and thyroid function checks; teratogenic; adequate hydration essential,Severe
Dengue Fever,Oral Rehydration Salts (ORS),200–400 mL after each loose stool or as directed,Do not give aspirin; watch for warning signs of severe dengue; rest completely,Moderate
Polycythemia Vera,Aspirin (Low Dose),75–100 mg once daily,Reduces thrombotic risk; avoid if platelet <50×10⁹/L; GI protection with PPI if history of peptic ulcer,Mild
Coronary Artery Disease,Atorvastatin,40–80 mg once daily at night,Monitor LFTs and CK; avoid grapefruit juice; report muscle pain; LDL target <1.8 mmol/L in high risk patients,Moderate
Panic Disorder,Sertraline,25–200 mg once daily,First-line; start low (may initially worsen anxiety); allow 4–6 weeks; combine with CBT; do not stop abruptly,Moderate
Pancreatitis,IV Fluid Resuscitation (Lactated Ringer's),250–500 mL/hr initially; titrate to urine output >0.5 mL/kg/hr,Hospitalisation mandatory; NPO (nil by mouth); pain management; monitor renal function and electrolytes,Severe
Athlete's Foot (Tinea Pedis),Miconazole Cream 2%,Apply twice daily for 4 weeks,External use only; keep foot dry; cotton socks recommended; treat interdigital spaces thoroughly,Mild
Scabies,Ivermectin (Oral),200 mcg/kg single dose; repeat after 2 weeks (severe/crusted scabies),Systemic option; not for children <15 kg or pregnant women; crusted scabies needs combined topical and oral treatment,Mild
Haemophilia A,Factor VIII Concentrate (Recombinant),Minor bleeds: 10–20 IU/kg; Major bleeds: 25–40 IU/kg IV; prophylaxis: 25–40 IU/kg 3×/week,Specialist haematology care; monitor factor levels; risk of inhibitor development; HIV/hepatitis testing historically important; haemophilia treatment centre,Severe
Anaphylaxis,Hydrocortisone IV,200 mg IV (after adrenaline),Prevents biphasic anaphylaxis; adjunct to adrenaline; observe for minimum 6 hours after reaction,Critical
Type 2 Diabetes,Insulin Glargine,0.2 units/kg subcutaneously once daily at bedtime (titrate),Monitor blood glucose 3–4×/day; rotate injection sites; risk of hypoglycaemia,Severe
Sciatica,Epidural Steroid Injection,Methylprednisolone 40–80 mg epidural injection; up to 3 injections per year,Specialist pain clinic; short-term benefit; risk of rare neurological complications; monitor glucose in diabetics; does not fix underlying cause,Moderate
Cystic Fibrosis,Pancreatic Enzyme Replacement (Creon),"10,000–25,000 units of lipase with each meal; titrate to stool consistency",Take at start of meal; do not crush; high-dose may cause fibrosing colonopathy; adequate fluid intake,Moderate
Sinusitis,Amoxicillin-Clavulanate,875/125 mg twice daily for 10–14 days (bacterial sinusitis),Only for bacterial sinusitis; avoid overuse; check penicillin allergy; take with food to reduce GI effects,Moderate
Alcohol Use Disorder,Naltrexone,50 mg once daily orally (or 380 mg IM monthly),Opioid antagonist — do not use if on opioids; hepatotoxicity risk — monitor LFTs; not effective unless motivated to stop,Moderate
Parkinson's Disease,Levodopa/Carbidopa,100/25 mg three times daily; titrate as needed,Take on empty stomach for best absorption; nausea common initially; long-term motor fluctuations; avoid protein meals near dose,Severe
Malaria,IV Artesunate,"2.4 mg/kg IV at 0, 12, 24 h then daily",Severe/cerebral malaria; hospitalisation required; monitor haemoglobin and renal function,Critical
Hepatitis A,Paracetamol (low dose for discomfort),325–500 mg every 4–6 hours; max 2 g/day in hepatic disease,Use minimum effective dose; avoid alcohol completely; monitor liver enzymes,Mild
Urinary Tract Infection,Trimethoprim-Sulfamethoxazole,160/800 mg twice daily for 3–7 days,Check local resistance patterns; avoid in G6PD deficiency; monitor renal function; adequate hydration,Mild
Attention Deficit Hyperactivity Disorder,Atomoxetine (Non-stimulant),0.5 mg/kg/day for 4 weeks then 1.2 mg/kg/day (max 100 mg),Non-stimulant — no abuse potential; allow 4–8 weeks for effect; suicidal ideation risk — monitor; liver toxicity — monitor LFTs; not PRN,Moderate
Crohn's Disease,Mesalazine (5-ASA),2–4 g/day in 2–4 divided doses (mild colonic disease),Annual renal function check; monitor blood counts; main role in colonic Crohn's; less effective in small bowel disease,Moderate
Gonorrhoea,Ceftriaxone IM,500 mg IM as single dose (uncomplicated gonorrhoea),Dual therapy no longer routine in many guidelines; test for cure in pharyngeal gonorrhoea; trace and treat contacts,Moderate
HIV Infection,Tenofovir/Emtricitabine/Dolutegravir (TLD),1 tablet once daily,First-line ART; monitor renal function; excellent tolerability; taken lifelong; maintain adherence >95%,Severe
Rotator Cuff Injury,Subacromial Corticosteroid Injection,Triamcinolone 40 mg + local anaesthetic into subacromial space,Max 3 injections per year; physiotherapy essential alongside; brief initial pain increase possible; does not repair torn tendon,Mild
Stroke,Alteplase (tPA),0.9 mg/kg IV (max 90 mg); 10% bolus then remainder over 60 min (ischaemic stroke),Must be given within 4.5 h of symptom onset; contraindicated in haemorrhagic stroke; strict BP monitoring,Critical
Crohn's Disease,Azathioprine (Immunosuppressant),2–2.5 mg/kg/day (maintenance of remission),Check TPMT enzyme before starting; monitor CBC monthly; avoid sun exposure; risk of lymphoma with long use,Moderate
Septic Shock,Norepinephrine (Noradrenaline),0.1–2 mcg/kg/min IV infusion (vasopressor of choice),ICU requirement; central venous catheter; titrate to MAP >65 mmHg; monitor for tissue ischaemia; arterial line for BP monitoring,Critical
Chronic Obstructive Pulmonary Disease,Salmeterol/Fluticasone (LABA/ICS),50/500 mcg 1 puff twice daily (Seretide),Rinse mouth after use to prevent oral thrush; not for rescue use; increases pneumonia risk in COPD; bone density monitoring with prolonged use,Moderate
Cirrhosis,Propranolol (Varices Prophylaxis),20–40 mg twice daily; titrate as above,Reduces portal pressure; contraindicated in spontaneous bacterial peritonitis treatment phase; monitor for hepatic encephalopathy worsening,Severe
Acromegaly,Octreotide LAR (Somatostatin Analogue),20–30 mg IM every 4 weeks,Pituitary surgery first-line; SSA if surgery incomplete/refused; gallstone formation risk; monitor GH and IGF-1 levels; GI side effects initially,Severe
Hyperthyroidism,Propranolol,40 mg two to four times daily for symptomatic control,Relieves palpitations and tremor while awaiting antithyroid effect; contraindicated in asthma; do not stop abruptly,Mild
Typhoid Fever,Azithromycin,500 mg once daily for 7 days (uncomplicated; resistance concerns),Confirm Salmonella typhi sensitivity; monitor for complications; adequate rest and hydration; do not return to food handling until negative stool cultures,Moderate
Hepatitis C,Glecaprevir/Pibrentasvir (Maviret),"300/120 mg (3 tablets) once daily with food for 8 weeks (treatment-naive, no cirrhosis)",Take with food; avoid amiodarone; monitor for hepatic decompensation; check drug interactions,Severe
Fatty Liver Disease (NAFLD),Pioglitazone (Diabetic NASH),30 mg once daily,For NASH with type 2 diabetes; risk of fluid retention and heart failure; bladder cancer concern — monitor; fracture risk in women; weight gain common,Moderate
Ulcerative Colitis,Prednisolone (for flares),40 mg once daily for 4 weeks then taper by 5 mg/week,Short-term use for flares; not for long-term maintenance; bone protection; monitor glucose and BP,Moderate
Scoliosis,Ibuprofen (Pain Management),400–600 mg three times daily with food,For pain relief only; does not correct curve; bracing for 25–45 degree curves; surgery for >45 degrees; physiotherapy essential,Mild
Common Cold,Cetirizine,10 mg once daily,May cause drowsiness; avoid alcohol; reduce dose in renal impairment,Mild
Endometriosis,Leuprorelin (GnRH Agonist),3.75 mg IM monthly injection for 3–6 months,Menopausal side effects; bone loss with prolonged use — add back therapy; expensive; pain returns after stopping,Moderate
Vertigo (Benign Paroxysmal Positional),Epley Manoeuvre (Canalith Repositioning),Series of 4 head positions held 30 seconds each; 1–2 times daily until symptoms resolve,Performed by trained clinician; avoid bending or lying flat for 48 h after; 80% effective; highly effective for posterior canal BPPV,Mild
Ringworm (Tinea Corporis),Clotrimazole Cream 1%,Apply thinly to affected area 2–3 times daily for 2–4 weeks,Continue 1–2 weeks after clearance to prevent recurrence; avoid sharing clothing/towels; wash affected areas daily,Mild
Osteoporosis,Calcium Carbonate + Vitamin D3,Calcium 1000–1200 mg/day + Vitamin D 800–2000 IU/day (divided doses),Take calcium with food for better absorption; monitor serum calcium and urine calcium; kidney stone risk with high doses,Mild
Dengue Fever,Paracetamol (Acetaminophen),500–1000 mg every 4–6 hours; max 4 g/day,Avoid aspirin and NSAIDs; stay well-hydrated; monitor platelet count daily,Moderate
Meningitis,Dexamethasone IV,0.15 mg/kg IV every 6 hours for 4 days (start before or with first antibiotic dose),Reduces inflammation and hearing loss risk; most benefit in pneumococcal meningitis; monitor blood glucose,Critical
Migraine,Naproxen Sodium,500 mg at onset; may repeat 500 mg after 1 h; max 1000 mg/day,Avoid in renal impairment; take with food; avoid in GI bleeding history,Moderate
Haemophilia A,Desmopressin (DDAVP),0.3 mcg/kg IV or SC; or 300 mcg intranasal (mild haemophilia A only),Suitable for mild cases only; test response before using; risk of hyponatraemia; limit fluid intake after dose; max 3 doses in 48 hours,Moderate
Deep Vein Thrombosis,Rivaroxaban (DOAC),"15 mg twice daily with food for 21 days, then 20 mg once daily with food for at least 3 months",Avoid in severe renal failure; no routine monitoring; withhold before procedures; do not stop abruptly; no antidote available,Moderate
Heart Failure,Furosemide (Loop Diuretic),20–80 mg once or twice daily (titrate to symptoms),"Monitor electrolytes (K+, Na+, Mg2+); daily weight monitoring; risk of dehydration; supplement potassium if needed",Severe
Peptic Ulcer,Triple Therapy (H. pylori),Omeprazole 20 mg + Clarithromycin 500 mg + Amoxicillin 1 g — all twice daily for 7–14 days,Complete full course; side effects include diarrhoea and metallic taste; confirm H. pylori eradication after treatment,Moderate
Celiac Disease,Strict Gluten-Free Diet (Primary Treatment),"Complete elimination of wheat, barley, rye — lifelong",No medication replaces GFD; dietician referral; check labels for hidden gluten; oats cross-contamination risk; annual nutritional monitoring,Moderate
Sickle Cell Disease,Hydroxyurea,15–35 mg/kg/day (titrate to maximum tolerated dose),Increases fetal haemoglobin; monitor CBC every 4–8 weeks; teratogenic; contraception required; reduce dose if neutrophil count drops,Severe
Osteoarthritis,Ibuprofen,400–800 mg three times daily with food,"Avoid in peptic ulcer disease, cardiovascular disease, renal disease; add PPI (omeprazole) to protect stomach",Moderate
Heart Failure,Spironolactone,25–50 mg once daily,Monitor potassium (hyperkalaemia risk); avoid with ACE inhibitor + ARB combination; monitor renal function,Moderate
Systemic Lupus Erythematosus,Prednisolone,0.5–1 mg/kg/day for flares; taper over weeks,"Bone protection with calcium and vitamin D; monitor blood glucose, BP, bone density; avoid long-term high doses",Severe
Common Cold,Pseudoephedrine,60 mg every 4–6 hours; max 240 mg/day,"Avoid in hypertension, heart disease; may cause insomnia; limit caffeine",Mild
Colon Cancer,Bevacizumab (VEGF Inhibitor),5 mg/kg IV every 2 weeks (with FOLFOX),GI perforation risk; wound healing impaired (withhold 4 weeks before/after surgery); hypertension; proteinuria — monitor urine; arterial thromboembolism risk,Critical
